,year,film,race_simple,words,sentences,total_words,total_sentences,words_perc,sentences_perc,cast_perc_race
0,1989,Born on the Fourth of July,POC,208,15,5151,620,4.038050864,2.419354839,6.666666667
1,1989,Born on the Fourth of July,White,4943,605,5151,620,95.96194914,97.58064516,93.33333333
2,1989,Dead Poets Society,POC,0,0,5217,1289,0,0,0
2,1989,Dead Poets Society,White,5217,1289,5217,1289,100,100,100
3,1989,Driving Miss Daisy,POC,3531,544,9675,1520,36.49612403,35.78947368,33.33333333
4,1989,Driving Miss Daisy,White,6144,976,9675,1520,63.50387597,64.21052632,66.66666667
5,1989,Field of Dreams,POC,1369,207,8933,1299,15.3251987,15.93533487,12.5
6,1989,Field of Dreams,White,7564,1092,8933,1299,84.6748013,84.06466513,87.5
7,1989,My Left Foot,POC,0,0,4749,980,0,0,0
7,1989,My Left Foot,White,4749,980,4749,980,100,100,100
8,2015,Bridge of Spies,POC,0,0,9915,1351,0,0,0
8,2015,Bridge of Spies,White,9915,1351,9915,1351,100,100,100
9,2015,Brooklyn,POC,0,0,10591,1469,0,0,0
9,2015,Brooklyn,White,10591,1469,10591,1469,100,100,100
10,2015,Mad Max,POC,320,64,3130,694,10.22364217,9.221902017,16.66666667
11,2015,Mad Max,White,2810,630,3130,694,89.77635783,90.77809798,83.33333333
12,2015,Room,POC,616,92,8373,1414,7.356980772,6.506364922,25
13,2015,Room,White,7757,1322,8373,1414,92.64301923,93.49363508,75
14,2015,Spotlight,POC,0,0,13113,1975,0,0,0
14,2015,Spotlight,White,13113,1975,13113,1975,100,100,100
15,2015,The Big Short,POC,515,71,13241,1782,3.889434333,3.984287318,13.04347826
16,2015,The Big Short,White,12726,1711,13241,1782,96.11056567,96.01571268,86.95652174
17,2015,The Martian,POC,2589,365,10550,1507,24.54028436,24.22030524,35.71428571
18,2015,The Martian,White,7961,1142,10550,1507,75.45971564,75.77969476,64.28571429
19,2015,The revenant,POC,0,0,4005,549,0,0,0
19,2015,The revenant,White,4005,549,4005,549,100,100,100
20,2017,Call me by your name,POC,0,0,6673,1048,0,0,0
20,2017,Call me by your name,White,6673,1048,6673,1048,100,100,100
21,2017,Darkest Hour,POC,147,27,8034,1077,1.829723674,2.506963788,9.090909091
22,2017,Darkest Hour,White,7887,1050,8034,1077,98.17027633,97.49303621,90.90909091
23,2017,Dunkirk,POC,0,0,2353,446,0,0,0
23,2017,Dunkirk,White,2353,446,2353,446,100,100,100
24,2017,Get Out,POC,3309,653,7094,1330,46.64505216,49.09774436,45.45454545
25,2017,Get Out,White,3785,677,7094,1330,53.35494784,50.90225564,54.54545455
26,2017,Lady Bird,POC,292,49,7664,1148,3.810020877,4.268292683,16.66666667
27,2017,Lady Bird,White,7372,1099,7664,1148,96.18997912,95.73170732,83.33333333
28,2017,Phantom Thread,POC,0,0,0,783,0,0,0
28,2017,Phantom Thread,White,5541,783,5541,783,100,100,100
29,2017,The Post,POC,175,13,11135,1528,1.571621015,0.85078534,6.25
30,2017,The Post,White,10960,1515,11135,1528,98.42837899,99.14921466,93.75
31,2017,The Shape of Water,POC,1319,201,8036,1347,16.41363863,14.922049,9.090909091
32,2017,The Shape of Water,White,6717,1146,8036,1347,83.58636137,85.077951,90.90909091
33,2017,Three Billboards Outside Ebbing Missouri,POC,782,76,9480,1195,8.248945148,6.359832636,16.66666667
34,2017,Three Billboards Outside Ebbing Missouri,White,8698,1119,9480,1195,91.75105485,93.64016736,83.33333333